Drug_ID,Predicted_Score
17431641,0.042053275
24782659,0.04982222
852001,0.047572054
22400819,0.041880116
24837170,0.045655143
24837432,0.045521945
24799320,0.04647986
24783847,0.048880275
4252023,0.045864128
852984,0.046936292
17517481,0.047193978
4246638,0.050400812
22402722,0.047315996
22407862,0.049078744
4260499,0.057889387
24811724,0.05289657
862758,0.051528435
7975799,0.04770018
7970590,0.046280254
7965571,0.04342838
14732933,0.043493677
26751279,0.044460688
7969397,0.039889038
22409964,0.05151762
7971529,0.042337853
17433361,0.04409214
22404257,0.047884528
24805611,0.044921592
865215,0.044397444
4255679,0.049418267
848497,0.045611933
22409471,0.043929446
14724284,0.050751563
14728482,0.047703914
17411616,0.039894927
26666897,0.047235895
26751249,0.04460909
26664150,0.04584553
26670857,0.04593384
22414661,0.049223866
4263416,0.0474065
50107828,0.058601853
24793313,0.049207345
24808222,0.051645566
24816013,0.045963738
7973618,0.046647836
17384977,0.04380994
24821335,0.04806287
17407647,0.046133712
14742784,0.045570012
24789925,0.04635589
24802805,0.050564326
17506895,0.050584085
22412314,0.038696177
24788568,0.0457595
14737886,0.043752365
17507800,0.04839067
860098,0.04915909
4260033,0.054797508
26730712,0.05508163
26747456,0.048298094
22402575,0.052703537
24809956,0.054159317
50108444,0.041497745
14741446,0.046235844
862173,0.0451548
24802136,0.05134502
17514955,0.046407003
24791916,0.045365483
17415359,0.04503914
24841695,0.050328262
24828418,0.05077783
4260131,0.04615396
4239866,0.042826436
14728861,0.043830138
17385115,0.048002426
4240184,0.048498806
14740954,0.05580154
7977829,0.048504718
866097,0.04825789
4255657,0.044159867
24807318,0.04918284
846820,0.051343057
24809556,0.05047501
24806880,0.04446535
24794496,0.04861698
4254577,0.045128454
24800774,0.050190613
24789830,0.045710023
7975453,0.046719275
17516670,0.048623983
14745162,0.045072205
24829887,0.056641493
14743305,0.048978623
4251081,0.050305206
14721779,0.0540854
26751234,0.045317087
4240773,0.044669222
17407828,0.058792543
17407213,0.04621359
24806762,0.04311029
22405123,0.041659016
3711119,0.047572725
24821469,0.04984901
3716142,0.046051662
17389527,0.04832378
26730853,0.047144134
7973541,0.038587913
24808505,0.045500267
24794233,0.05076687
22404516,0.050877623
14746878,0.045223426
17433440,0.048978817
22415985,0.048988827
4262768,0.06117259
22413270,0.048717923
4238239,0.04781028
24836085,0.043897495
4251553,0.05312704
22406523,0.046154644
24832080,0.043206006
17510166,0.050619867
4256828,0.046343066
17407839,0.05050257
24798447,0.04209809
7964567,0.044174623
24802532,0.045337513
7971460,0.04840124
24835080,0.04476323
7968530,0.045312837
22405743,0.052196406
24783517,0.045019012
14737537,0.043029495
4258407,0.036224104
842307,0.041236036
17401542,0.052519716
7968771,0.04904496
22401610,0.049133398
4254918,0.05325405
4242734,0.047193054
16953897,0.053360365
22403100,0.045912135
4256018,0.047887657
17411505,0.04702496
4261889,0.04529481
3716607,0.04588621
14730277,0.05133383
26756214,0.044164393
4246373,0.043705508
3715285,0.03785205
26747574,0.055316832
24841129,0.046511725
24786056,0.048717406
24822283,0.04842496
26663628,0.05098441
24837338,0.046007775
4249625,0.05105219
17433196,0.054479055
851180,0.049681243
24782581,0.05196838
861243,0.047659464
17412382,0.04888502
